Research ID,Gender,Gender_3_TEXT,Age,Ethnicity,Ethnicity_9_TEXT,XR Experience,Joystick Experience,Activities_1,Activities_2,Play,Devices,Devices_5_TEXT,Genres,Genres_15_TEXT,Why - Liked games,No games,O1 Seen,O1 Confidence_1,O2 Seen,O2 Confidence_1,O3 Seen,O3 Confidence_1,O4 Seen,O4 Confidence_1,O5 Seen,O5 Confidence_1,O6 Seen,O6 Confidence_1,D1 Seen,D1 Confidence_1,D2 Seen,D2 Confidence_1,D3 Seen,D3 Confidence_1,D4 Seen,D4 Confidence_1,D5 Seen,D5 Confidence_1,D6 Seen,D6 Confidence_1,D7 Seen,D7 Confidence_1,D8 Seen,D8 Confidence_1,D9 Seen,D9 Confidence_1,D10 Seen,D10 Confidence_1,D11 Seen,D11 Confidence_1,D12 Seen,D12 Confidence_1,Additional Objects,Agreements_1,Agreements_2,Agreements_3,Most liked,Most disliked,Biggest limitations,Suggestions
11,Female,,23,New Zealand European,,3 or more times,3 or more times,-4,-4,Yes,"PC,Console",,"Adventure,Simulation,Casual / Party,Sandbox",,Fun to play with friends,,Yes,-4,Yes,-3,Yes,-5,No,-3,Yes,-5,Yes,-5,No,-4,No,-5,No,-2,No,-3,No,-5,No,-3,No,-3,No,-4,No,-5,No,-4,No,-2,No,-2,"Dinosaur, cherry tree, egyptian mummy, mona lisa, among us characters, park, cliff, fish tank, volcano",-3,-4,-2,It was fun to explore and see the different objects in the museum,It was easy to miss doors and get stuck in a loop since a lot of the rooms tended to go in circles,Maze-like and hard to tell if you miss something,
10,Male,,21,"Other (such as Dutch, Japanese, Tokelauan). Please specify:","American, Brazilian",1-2 times,3 or more times,-2,-3,Yes,Console,,"Adventure,Role-Playing (RPG),Shooter,Sports",,"I'm into sports, and it has something to grind towards within the game. The other types are usually fun to play with friends and working to the end of a story in a game is satisfying.",,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-4,No,-5,No,-3,No,-4,No,-4,No,-4,No,-4,No,-4,No,-4,No,-5,No,-5,No,-4,"Frog,Boat,Among Us statue, Among us Character in ice block, Tree with pink leaves, fish, Mona Lisa painting, Clocks, Volcano, statue next to among us statue",-5,-5,-2,It was simple and easy to navigate.,Some items I were unsure of what they were.,You can't interact with any objects.,Some music
13,Male,,21,Chinese,,1-2 times,3 or more times,-3,-4,Yes,"PC,Mobile",,"Adventure,Role-Playing (RPG),Shooter,Sports,Simulation,Racing",,Stress Relief,,Yes,-3,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-4,No,-4,No,-2,Yes,-4,No,-5,No,-3,No,-3,No,-1,Yes,-4,No,-2,No,-4,Yes,-3,"signboards, boat, among us",-3,-4,-2,Its interesting ,Could be confusing sometimes between rooms,None,More interactions (opening door etc)
12,Female,,21,New Zealand European,,1-2 times,3 or more times,-3,-4,No,,,,,,"I never had access to them as a kid, so never really got into it",Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-4,Yes,-5,Yes,-4,No,-3,No,-2,No,-2,Yes,-3,Yes,-4,Yes,-4,No,-4,Yes,-3,No,-3,Yes,-3,No,-4,"pink tree blob things, imposter, balcony looking outside, mona lisa, telephone booth/big ben structure, grey modernist shape, ",-4,-3,-3,being able to experience in vr,vr giving nausea haha,"might have been purposeful (so if it was then its not a limitation) but if representing a museum they often have floor plans showing what wing leads to watch, but this may have affected the way that people remember the space",can't think of anything :)
15,Male,,23,Chinese,,3 or more times,0 times,-5,-5,Yes,"PC,Mobile",,"Adventure,Role-Playing (RPG),Racing,Music/Rhythm",,It's interesting,,Yes,-4,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,"sundial, Mona Lisa, cherry tree, fish tank, small boat on the sea, porcelain, beetle, volcano",-5,-5,-2,"Interesting scenes that I've never seen before, the VR experience is brillient",There are few instructions that some times I lose my direction.,Maybe add what the object called in the room would be better. I sometimes can not remember the object in case I don't know what it's called.,Add some instructions
14,Male,,21,Chinese,,1-2 times,1-2 times,-3,-3,Yes,"PC,Mobile",,"Role-Playing (RPG),Survival,Sandbox",,I can do something that impossible to do in the reality,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-4,No,-4,No,-3,No,-4,No,-3,No,-3,No,-3,No,-3,No,-3,No,-2,No,-4,"boat, ice, Mennalisa",-4,-4,-1,I can see many things that like in the reality,"If I see too much time, It would make me a little uncomfortable ",The fish is too simple,May be can add some music when visit museum
17,Male,,22,Chinese,,1-2 times,3 or more times,-5,-5,Yes,"PC,Mobile",,"Adventure,Role-Playing (RPG),Shooter,Survival,Other",MOBA,I like playing these kinds of games because these can help me relax and have fun.,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-4,No,-4,No,-3,Yes,-5,Yes,-4,Yes,-3,No,-4,No,-5,No,-5,Yes,-5,No,-4,Yes,-3,"boat, finish line, stove, lava, sun, green grass",-3,-5,-1,"The VR effect is very good, and the design of the museum is also very good",The device may not be working properly due to network issues,Sometimes you may see the real world,"Poor device contact or ""jumping"" from the VR world back to the real world"
16,Male,,22,Chinese,,1-2 times,0 times,-5,-5,Yes,PC,,"Adventure,Role-Playing (RPG),Shooter,Simulation,Horror,Survival,Sandbox",,to enjoy playing them,,No,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-4,No,-5,No,-5,No,-5,No,-3,No,-4,No,-5,No,-3,No,-4,No,-5,No,-4,No,-4,"pink trees
clock
fish
drawing
pottery
A shrunken children's playground",-3,-5,-3,Use VR to visit a museum,Use the controller to move and turn,nothing,More information for objects I saw in museum
18,Male,,27,Chinese,,0 times,0 times,-5,-5,Yes,"PC,Console",,"Role-Playing (RPG),Sports,Racing",,cuz it's let me have fun and give me amazing experience of real world using electronic,,Yes,-5,Yes,-5,Yes,-5,Yes,-3,No,-5,Yes,-5,Yes,-3,No,-4,No,-4,Yes,-5,No,-4,Yes,-4,No,-4,No,-4,No,-4,No,-5,No,-4,No,-5,"sea, grass, eggs,",-2,-4,-2,I do like the museum's objects like beautiful pics ,It's kind of hard to find the road to get out ,I think it's really need people have good memory to remember road.,Give me more information to find the way out
20,Male,,22,New Zealand European,,1-2 times,3 or more times,-4,-4,Yes,"Console,Mobile",,"Adventure,Role-Playing (RPG),Shooter,Strategy",,I don't know. I enjoy the immersion of RPGs.,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,Yes,-3,No,-4,No,-3,No,-5,No,-4,No,-2,No,-2,No,-4,No,-3,No,-3,No,-4,"amongus iceblock
volcano
boat / fisherman?",-5,-4,-3,,,I feel that my spatial memory was affected by the snap turning.,
19,Male,,22,New Zealand European,,1-2 times,3 or more times,-5,-4,Yes,"PC,Console",,"Role-Playing (RPG),Shooter,Strategy,Sandbox",,I enjoy the immersive experience. Also having a lot of tasks to complete is fun. And I enjoy the multiplayer aspect of these genres.,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-4,No,-5,No,-5,No,-4,No,-5,No,-5,Yes,-3,No,-5,No,-5,No,-5,No,-4,No,-5,"Imposter from Amongus
Mask (Oracle from Jak and Daxter?)
Boat in water
Frog",-4,-5,-2,"The rooms were quite varied, you never knew what you were going to walk into.",Nothing really. I guess one or two rooms felt like they were almost the same.,"It was all objects, instead of say any text.",
21,Male,,23,New Zealand European,,1-2 times,3 or more times,-4,-4,Yes,"PC,Console,Mobile",,"Adventure,Puzzle,Platformer,Survival,Sandbox",,"Platformers and puzzles are very visual and are fun to figure out how to solve the problems. Adventure cause I like exploring and finding everything there is to find, Survival and Sandbox because Minecraft cool tbh",,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,"Listing all I saw just so I don't forget any: among us, frog, boat, face, pyramid, clocks, grandfather clock, painting, volcano, fish, nest, pottery, t-rex",-4,-2,-4,The doors were really fun to walk through,The feeling like I was going to crash into something in reality,Not being able to see through multiple doors at once,Doors having an icon on the top showing what room they lead to
22,Female,,21,Chinese,,1-2 times,3 or more times,-4,-3,Yes,PC,,"Adventure,Shooter,Sandbox",,"These games have adventure and action components which are fun to play with friends. For sandbox games, I can explore different environments and grow plants.",,Yes,-4,Yes,-5,Yes,-5,No,-4,Yes,-5,Yes,-2,Yes,-4,No,-4,Yes,-3,Yes,-2,No,-3,Yes,-5,Yes,-5,No,-5,No,-3,No,-4,Yes,-4,Yes,-4,pink sakura tree,-4,-3,-2,"The museum had many different objects of different sizes with rooms that were open or closed spaces, which gave the user a different feeling about whether they were inside or outside a room. ","The museum is quite complex but there were not many signs or symbols to navigate the user around the museum. The items/spaces in the museum did not feel that connected to each other e.g. the Sakura tree room was indoors and was opposite to the outdoor pyramids, so this feels like the rooms in the museum did not flow well together.","Although there were different objects in the room which may help the user mark where they have been, because there are so many different objects, it is a little difficult to remember all of them and and use them to map out the rooms of the museum. Therefore there is not much communication within the museum and the rooms/displays felt like they did not flow well together as previously mentioned","Possibly symbols that could help communicate where the user is going in the museum, what the user is looking at and where the user and better flow between the contrasting rooms"
24,Female,,20,Chinese,,3 or more times,3 or more times,-4,-5,No,,,,,,Too busy,Yes,-5,Yes,-5,Yes,-2,Yes,-4,Yes,-5,Yes,-5,Yes,-2,No,-2,Yes,-1,Yes,-5,No,-3,No,-2,No,-4,Yes,-2,Yes,-4,No,-2,No,-4,No,-2,Stone sculpture that looked like an among us character,-3,-1,-1,"not many controls to keep track of, simpleness of turning head/turning around to see other rooms",Was harder to turn or change direction with the joystick,"Not really sure if either one of left or right joystick could control movement, but having two joysticks may be redundant?",
23,Male,,21,Chinese,,3 or more times,3 or more times,-5,-5,Yes,"PC,Mobile",,"Role-Playing (RPG),Shooter,Sports,Simulation,Strategy,Puzzle,Racing,Casual / Party,Sandbox,Music/Rhythm",,"Some I play for relaxation and enjoyment, some I play for excitement and accomplishment.",,Yes,-5,Yes,-4,Yes,-5,Yes,-5,Yes,-5,Yes,-4,No,-3,No,-3,No,-3,No,-3,No,-3,No,-2,No,-3,No,-3,No,-3,No,-2,No,-5,No,-3,"Doors, the ocean, a boat, a cherry blossom tree, AMOGUS, disfigured frog statue (?), Mona Lisa, aquarium, fish.",-5,-3,-2,"The application is very immersive, and the objects showcased in the museum are well-made and interesting. It was a fun and eye-opening experience for me.",Sometimes rooms appear incorrectly if they are two doors away from the viewer (passing the first door gives the room a different color). But overall extremely well made.,"Other than the answer given in the previous question, not much.","Fixing the problem outlined above would give an even more immersive experience, I suppose."
25,Female,,21,New Zealand European,,0 times,0 times,-3,-1,No,,,,,,no need,Yes,-5,No,-4,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-4,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,"t rex skeleton
clock room 
mummy Egypt
 sign post 
bird nest 
mammoth
beach
aquarium 
sundial
amoung us in ice
among us statue and another figure
monalisa
volcano display
large face on wall
pond with frog 
museum entrance
",-2,-3,-2,"The process of introduction - professional manner. 
the visuals are easy on the eye 
relevant context of museum.  ","I found myself frustrated and I wanted to cry 
no museum map 
alone and I was lost and I had to retrace my steps to try figure out the system
I have headache 
I was so tense - clutching my hands the whole time

","the door frames double sided. 
no sounds? ",I wanna see different door frames - perhaps different ones. also the relevance of the north west sign etc was unclear 
26,Female,,48,New Zealand European,,0 times,3 or more times,-3,-5,No,,,,,,i'm too old and time poor,Yes,-5,Yes,-3,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-5,No,-3,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-5,No,-3,"fish, aquarium, ocean, boat, wreath, finish line, ",-4,-3,-2,Easy navigation and interesting objects.,"I got the finish line quickly and I would have liked time to explore, I did not know it was the finish line so I crossed it.",My own abilities with the joy stick (kept knocking into walls),Had the finish line been clearly marked i would not have crossed it so soon.
27,Male,,20,"New Zealand European,Samoan",,1-2 times,0 times,-4,-1,No,,,,,,Not interested.,Yes,-5,Yes,-5,Yes,-5,No,-3,Yes,-5,Yes,-4,Yes,-3,No,-3,No,-2,No,-2,No,-3,Yes,-4,No,-3,No,-3,No,-2,No,-3,Yes,-2,Yes,-2,"Rocks
Houses
grass
mountains

",-2,-2,-2,It provided an interesting and fun way to experience a museum without leaving the room.,It became confusing as to which room to enter that would therefore lead you to the exit.,the graphics and visual space would make it more interesting.,Better graphics and more objects to look at in the space.
28,Male,,21,Chinese,,1-2 times,1-2 times,-4,-2,Yes,PC,,"Role-Playing (RPG),Shooter,Racing",,Competitive aspect: enjoy playing against others.,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-3,Yes,-5,No,-3,No,-4,No,-2,Yes,-5,No,-5,Yes,-5,No,-2,No,-3,Yes,-5,Yes,-4,No,-4,Yes,-5,"Pyramid, NESW Sign, Dinosaur bones, Red carpet, Large stone face",-4,-1,-2,I liked how easy it was to use.,"Towards the end, the rooms got confusing as it wasn't in a straight line but led to multiple other rooms.","Without labels for objects, I feel like words could have made is easier to remember the different objects. ","Labels for various exhibits, and signs in the museum to help navigation"
29,Male,,60,"New Zealand European,Other (such as Dutch, Japanese, Tokelauan). Please specify:",Pakeha (I prefer that term as I was born in NZ),1-2 times,3 or more times,-3,-4,No,,,,,,It's a drain on time. (I don't want to get hooked again.),Yes,-5,Yes,-4,Yes,-5,Yes,-4,Yes,-5,Yes,-4,No,-5,No,-5,No,-4,No,-4,No,-5,No,-2,No,-5,No,-4,No,-4,No,-4,No,-5,No,-3,"giant ladybird, finish line(!), ocean and desert environments",-4,-2,-1,VR was fascinating. The images were good. (Liked Mona Lisa by Picasso!),"I started getting disoriented. My body was saying I was in one place, but in my mind I was in another. I'm not sure how much longer I would have coped with it. ","Not many. I would have liked a ""map"", but that perhaps defeats the idea!",It depends on what you are trying to achieve.
30,Male,,21,Chinese,,3 or more times,3 or more times,-3,-3,Yes,PC,,"Adventure,Role-Playing (RPG),Shooter,Simulation,Strategy,Puzzle,Casual / Party,Platformer,Survival,Sandbox",,Good way to pass time and interact with friends,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-4,No,-1,No,-5,No,-1,Yes,-3,No,-5,Yes,-5,No,-5,Yes,-3,No,-5,No,-5,No,-3,Yes,-5,"Triangle thing on the statue, Pink Tree, Clocks, Big Ben, Aquarium, Frog outside, Boat outside, Pottery, Sculptures.",-4,-4,-3,"Overall, this was a fun experiment and I liked how everything was done in VR.","I didn't think I would get motion sick, but I felt a bit drowsy at the start.","I don't really think there was many limitations in the application, it was overall done quite well for a research project.",An improvement that I would like to see in the application would be being able to adjust the lighting/speed at which the rooms and character is walking at.
31,Female,,21,New Zealand European,,3 or more times,3 or more times,-2,-4,Yes,"PC,Mobile,VR",,"Adventure,Role-Playing (RPG),Shooter,Casual / Party,Platformer,Horror,Survival,Sandbox,Music/Rhythm",,I find them fun and interesting ,,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,Yes,-5,No,-5,No,-3,No,-2,Yes,-4,No,-4,No,-3,No,-4,No,-4,No,-4,No,-4,No,-4,No,-3,"Boat, ",-4,-4,-1,A really comprehensive look into memory with a range of different memory challenges.,NA,NA,More memory challenges?
